State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,22-06-2016,800,900,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,25-07-2016,1000,1200,1200,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,26-07-2016,1000,1200,1100,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,27-07-2016,900,1100,1000,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,18-08-2016,900,1100,1000,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,27-08-2016,1000,1200,1100,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,31-08-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,08-09-2016,800,900,800,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,10-09-2016,800,800,800,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,19-09-2016,800,900,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,15-10-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,20-10-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,21-10-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,05-11-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,07-11-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,08-11-2016,800,1000,900,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,12-11-2016,1000,1500,1200,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,14-11-2016,1500,1500,1500,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,21-11-2016,1200,1300,1300,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,24-11-2016,1000,1400,1200,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,28-11-2016,1200,1500,1400,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,01-12-2016,1100,1300,1200,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,06-12-2016,1000,1300,1100,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,08-12-2016,900,1200,1000,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,09-12-2016,1200,1200,1200,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,14-12-2016,1100,1300,1200,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,17-12-2016,1000,1100,1000,23
Punjab,Ludhiana,Machhiwara,Onion,Other,FAQ,19-12-2016,900,1100,1000,23
